Государственный регистрационный номер выпуска,Эмитент,Цена (в процентах от номинала) одной ценной бумаги,"Cтоимость одной ценной бумаги,  определенная в порядке,  установленном Банком России (руб.)","Поправочный коэффициент, установленный Банком России",ISIN,Дата погашения*
4-33-65045-D,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",1000000,1 000,095,RU000A0JVB19,27.02.2040
4-34-65045-D,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",1000000,1 000,095,RU000A0JVB27,27.02.2040
4-35-65045-D,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",1000000,1 000,095,RU000A0JVKH5,29.05.2040
4-36-65045-D,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",1000900,"1 000,9",095,RU000A0JVY04,12.10.2040
4-41-65045-D,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",1000000,1 000,095,RU000A0JX1S1,26.11.2031
4B02-01-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",1003300,"1 003,3",095,RU000A0JXN05,17.05.2032
4B02-02-65045-D,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",1007000,1 007,095,RU000A0JVW71,07.10.2025
4B02-02-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",987000,987,095,RU000A0JXQ44,01.04.2037
4B02-03-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",985900,9859,095,RU000A0JXR84,22.04.2037
4B02-04-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",975700,9757,095,RU000A0JXZB2,28.07.2032
4B02-05-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",954000,954,095,RU000A0ZYU05,31.01.2033
4B02-06-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",994600,9946,095,RU000A0ZZ4P9,01.04.2033
4B02-07-65045-D,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",962800,9628,095,RU000A0JWC82,16.03.2026
4B02-07-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",971600,9716,095,RU000A0ZZ9R4,25.05.2033
4B02-08-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",1001100,"1 001,1",095,RU000A0ZZGT5,02.08.2028
4B02-09-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",876080,87608,095,RU000A0ZZRY2,13.10.2033
4B02-12-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",1006100,"1 006,1",095,RU000A1002C2,25.01.2024
4B02-13-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",1001400,"1 001,4",095,RU000A1007Z2,16.03.2029
4B02-14-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",1023400,"1 023,4",095,RU000A1008D7,03.05.2029
4B02-16-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",976100,9761,095,RU000A100HY9,24.06.2026
4B02-17-65045-D,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",1037100,"1 037,1",095,RU000A0JWHU2,25.04.2041
4B02-17-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",944700,9447,095,RU000A1010M4,31.10.2025
4B02-18-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",997000,997,095,RU000A101H84,19.02.2030
4B02-20-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",935900,9359,095,RU000A101M04,12.03.2027
4B02-21-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",913600,9136,095,RU000A102QP4,10.06.2027
4B02-24-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",1116700,"1 116,7",095,RU000A104SX0,29.04.2027
4B02-01-00207-A-001P,"ПАО ""АКРОН""",900900,9009,09,RU000A0JWV89,23.09.2026
4B02-02-00207-A-001P,"ПАО ""АКРОН""",961200,9612,09,RU000A0JXSS1,24.05.2027
4B02-03-00207-A-001P,"ПАО ""АКРОН""",997600,9976,09,RU000A100YU2,20.04.2023
4B02-01-00010-A-001P,"ПАО ""АЭРОФЛОТ""",947900,9479,09,RU000A103943,10.06.2026
4B02-01-00146-A-003P,"ПАО ""ГАЗПРОМ НЕФТЬ""",970100,9701,095,RU000A101137,01.11.2024
4B02-02-00146-A-003P,"ПАО ""ГАЗПРОМ НЕФТЬ""",879200,8792,095,RU000A1017J5,06.12.2029
4B02-03-00146-A,"ПАО ""ГАЗПРОМ НЕФТЬ""",985600,9856,095,RU000A0JWK41,26.04.2046
4B02-03-00146-A-003P,"ПАО ""ГАЗПРОМ НЕФТЬ""",948800,9488,095,RU000A101GJ0,19.02.2025
4B02-04-00146-A-001P,"ПАО ""ГАЗПРОМ НЕФТЬ""",997100,9971,095,RU000A0ZYLC4,11.12.2024
4B02-05-00146-A-001P,"ПАО ""ГАЗПРОМ НЕФТЬ""",1008500,"1 008,5",095,RU000A0ZYLQ4,13.12.2024
4B02-06-00146-A-001P,"ПАО ""ГАЗПРОМ НЕФТЬ""",990800,9908,095,RU000A0ZYXV9,06.03.2024
4B02-22-00028-A,"ПАО ""ГАЗПРОМ""",982500,9825,095,RU000A0ZZES2,10.06.2048
4B02-23-00028-A,"ПАО ""ГАЗПРОМ""",980300,9803,095,RU000A0ZZET0,10.06.2048
4B02-01-40155-F-001P,"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""",984000,984,095,RU000A100VQ6,23.09.2024
4B02-02-40155-F-001P,"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""",1021800,"1 021,8",095,RU000A105A61,05.10.2027
4B02-06-00844-A,"ПАО ""ДЕТСКИЙ МИР""",987100,9871,09,RU000A101MT7,28.04.2027
4B02-01-60525-P-002P,"ПАО ""МАГНИТ""",997600,9976,09,RU000A101HJ8,01.03.2023
4B02-02-60525-P-002P,"ПАО ""МАГНИТ""",995200,9952,09,RU000A101MC3,25.04.2023
4B02-03-60525-P-002P,"ПАО ""МАГНИТ""",991000,991,09,RU000A101PJ1,18.05.2023
4B02-04-60525-P-002P,"ПАО ""МАГНИТ""",979300,9793,09,RU000A1036H9,28.05.2024
4B02-05-60525-P-001P,"ПАО ""МАГНИТ""",978500,9785,09,RU000A1036M9,28.05.2024
4B02-05-60525-P-003P,"ПАО ""МАГНИТ""",999400,9994,09,RU000A1018X4,21.12.2022
4B02-06-00822-J-001P,"ПАО ""МЕГАФОН""",991700,9917,095,RU000A1006G4,07.03.2024
4B02-02-65116-D-001P,"ПАО ""МОЭК""",995900,9959,095,RU000A101FY1,13.02.2025
4B02-01-55192-E-001P,"ПАО ""ПОЛЮС""",976300,9763,09,RU000A100XC2,28.09.2029
4B02-03-00073-A,"ПАО ""РОССЕТИ ЛЕНЭНЕРГО""",992500,9925,095,RU000A101DE8,28.01.2025
4B02-04-00073-A,"ПАО ""РОССЕТИ ЛЕНЭНЕРГО""",992300,9923,095,RU000A101DF5,28.01.2025
4B02-01-12665-E-001P,"ПАО ""РОССЕТИ ЦЕНТР И ПРИВОЛЖЬЕ""",984500,9845,095,RU000A101RF5,01.06.2023
4-08-55038-E,"ПАО ""РУСГИДРО""",987400,9874,095,RU000A0JTMK9,01.02.2023
4-09-55038-E,"ПАО ""РУСГИДРО""",996700,9967,095,RU000A0JVD25,14.04.2025
4B02-06-55038-E-001P,"ПАО ""РУСГИДРО""",992000,992,095,RU000A1057P8,15.09.2026
4B02-01-65134-D-001P,"ПАО ""СИБУР ХОЛДИНГ""",1009300,"1 009,3",095,RU000A104XW2,19.01.2026
4B02-03-65134-D,"ПАО ""СИБУР ХОЛДИНГ""",979700,9797,095,RU000A103DS4,30.06.2031
4B02-01-00161-A-001P,"ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА",1000200,"1 000,2",095,RU000A1018K1,19.12.2022
4B02-01-00206-A-001P,"ПАО ""ТРАНСНЕФТЬ""",1007000,1 007,095,RU000A0JWK90,01.06.2023
4B02-03-00206-A-001P,"ПАО ""ТРАНСНЕФТЬ""",1012200,"1 012,2",095,RU000A0JWPW1,02.08.2023
4B02-05-00206-A-001P,"ПАО ""ТРАНСНЕФТЬ""",1006600,"1 006,6",095,RU000A0JXC24,25.01.2024
4B02-08-00206-A-001P,"ПАО ""ТРАНСНЕФТЬ""",983100,9831,095,RU000A0ZYDD9,08.10.2025
4B02-13-00206-A-001P,"ПАО ""ТРАНСНЕФТЬ""",944500,9445,095,RU000A1010B7,29.10.2026
4B02-04-00296-A-001P,"ПАО ""УРАЛКАЛИЙ""",995500,9955,09,RU000A0ZZ9W4,08.06.2023
4B02-06-00296-A-001P,"ПАО ""УРАЛКАЛИЙ""",952300,9523,09,RU000A101GZ6,21.02.2025
4B02-02-10214-A-001P,ПАО «РОССЕТИ ЦЕНТР»,885239,885239,095,RU000A101RH1,01.06.2023
4B02-01-55194-E,ПАО «ТРАНСКОНТЕЙНЕР»,997700,249425,095,RU000A0ZYPG6,18.01.2023
4B02-01-55194-E-001P,ПАО «ТРАНСКОНТЕЙНЕР»,979000,979,095,RU000A100YE6,18.04.2023
4-06-00013-A,"ПАО АНК ""БАШНЕФТЬ""",1000100,"1 000,1",095,RU000A0JTM28,30.01.2023
4-07-00013-A,"ПАО АНК ""БАШНЕФТЬ""",1000300,"1 000,3",095,RU000A0JTM36,30.01.2023
4-08-00013-A,"ПАО АНК ""БАШНЕФТЬ""",1000000,1 000,095,RU000A0JTM44,30.01.2023
4-09-00013-A,"ПАО АНК ""БАШНЕФТЬ""",1004500,"1 004,5",095,RU000A0JTM51,30.01.2023
4B02-06-00013-A,"ПАО АНК ""БАШНЕФТЬ""",1000400,"1 000,4",095,RU000A0JWGC2,28.04.2026
4B02-08-00013-A,"ПАО АНК ""БАШНЕФТЬ""",1037200,"1 037,2",095,RU000A0JWGD0,28.04.2026
4B02-01-01669-A-001P,"ПАО АФК ""СИСТЕМА""",1028400,"1 028,4",09,RU000A0JVUK8,29.09.2025
4B02-04-01669-A-001P,"ПАО АФК ""СИСТЕМА""",980600,9806,09,RU000A0JWYQ5,29.10.2026
4B02-05-01669-A-001P,"ПАО АФК ""СИСТЕМА""",965100,9651,09,RU000A0JWZY6,12.11.2026
4B02-06-01669-A-001P,"ПАО АФК ""СИСТЕМА""",1026100,"1 026,1",09,RU000A0JXN21,25.03.2027
4B02-07-01669-A-001P,"ПАО АФК ""СИСТЕМА""",928600,9286,09,RU000A0ZYQY7,20.01.2028
4B02-09-01669-A-001P,"ПАО АФК ""СИСТЕМА""",1034300,"1 034,3",09,RU000A1005L6,20.02.2029
4B02-10-01669-A-001P,"ПАО АФК ""СИСТЕМА""",999800,9998,09,RU000A1008J4,22.03.2029
4B02-11-01669-A-001P,"ПАО АФК ""СИСТЕМА""",1000200,"1 000,2",09,RU000A100N12,13.07.2029
4B02-12-01669-A-001P,"ПАО АФК ""СИСТЕМА""",960600,9606,09,RU000A101012,22.10.2029
4B02-13-01669-A-001P,"ПАО АФК ""СИСТЕМА""",947900,9479,09,RU000A101Q26,14.05.2030
4B02-14-01669-A-001P,"ПАО АФК ""СИСТЕМА""",985400,9854,09,RU000A101XN7,09.07.2030
4B02-15-01669-A-001P,"ПАО АФК ""СИСТЕМА""",944700,9447,09,RU000A1023K1,23.08.2030
4B02-16-01669-A-001P,"ПАО АФК ""СИСТЕМА""",992800,9928,09,RU000A102FS1,22.11.2030
4B02-17-01669-A-001P,"ПАО АФК ""СИСТЕМА""",924900,9249,09,RU000A102FT9,22.11.2030
4B02-18-01669-A-001P,"ПАО АФК ""СИСТЕМА""",977100,9771,09,RU000A102SV8,14.02.2031
4B02-19-01669-A-001P,"ПАО АФК ""СИСТЕМА""",943100,9431,09,RU000A102SX4,14.02.2031
4B02-20-01669-A-001P,"ПАО АФК ""СИСТЕМА""",932000,932,09,RU000A103372,29.04.2031
4B02-21-01669-A-001P,"ПАО АФК ""СИСТЕМА""",941400,9414,09,RU000A103C95,20.06.2031
4B02-23-01669-A-001P,"ПАО АФК ""СИСТЕМА""",1008100,"1 008,1",09,RU000A104693,20.11.2031
4B02-03-87154-H-002P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ГРУППА КОМПАНИЙ ""СЕГЕЖА""",1019900,"1 019,9",08,RU000A104FG2,31.12.2036
4B02-04-87154-H-002P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ГРУППА КОМПАНИЙ ""СЕГЕЖА""",1018000,1 018,08,RU000A104UA4,08.05.2037
4B02-01-65105-D-002P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВТОРАЯ ГЕНЕРИРУЮЩАЯ КОМПАНИЯ ОПТОВОГО РЫНКА ЭЛЕКТРОЭНЕРГИИ""",983300,9833,095,RU000A101WR0,07.07.2026
4B02-03-65105-D-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВТОРАЯ ГЕНЕРИРУЮЩАЯ КОМПАНИЯ ОПТОВОГО РЫНКА ЭЛЕКТРОЭНЕРГИИ""",980900,9809,095,RU000A0ZZ1H2,30.03.2023
4B02-02-10797-A-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГРУППА ЧЕРКИЗОВО""",994500,9945,09,RU000A1013Y3,24.05.2023
4B02-03-10797-A-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГРУППА ЧЕРКИЗОВО""",974700,9747,09,RU000A1024W4,14.03.2024
4B02-04-10797-A-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГРУППА ЧЕРКИЗОВО""",974600,9746,09,RU000A102LD1,18.12.2025
4-09-55010-D,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАМАЗ""",1003700,"1 003,7",09,RU000A0ZZ885,06.05.2033
4-10-55010-D,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАМАЗ""",1000400,"1 000,4",09,RU000A0ZZ877,06.05.2033
4-11-55010-D,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАМАЗ""",1001600,"1 001,6",09,RU000A0ZZ893,06.05.2033
4B02-07-55010-D-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАМАЗ""",989200,9892,09,RU000A101SM9,06.06.2023
4B02-08-55010-D-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАМАЗ""",997500,9975,09,RU000A103DP0,07.07.2023
4B02-09-55010-D-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАМАЗ""",1011800,"1 011,8",09,RU000A1043N3,21.11.2023
4B02-01-16419-A-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛИЗИНГОВАЯ КОМПАНИЯ ""ЕВРОПЛАН""",958000,958,09,RU000A102RU2,13.11.2023
4B02-02-16419-A-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛИЗИНГОВАЯ КОМПАНИЯ ""ЕВРОПЛАН""",978200,73365,09,RU000A1034J0,16.02.2023
4B02-03-16419-A-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛИЗИНГОВАЯ КОМПАНИЯ ""ЕВРОПЛАН""",957500,9575,09,RU000A103KJ8,07.08.2031
4B02-03-56453-P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛИЗИНГОВАЯ КОМПАНИЯ ""ЕВРОПЛАН""",989500,9895,09,RU000A100W60,19.09.2029
4B02-04-16419-A-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛИЗИНГОВАЯ КОМПАНИЯ ""ЕВРОПЛАН""",991500,9915,09,RU000A103S14,26.12.2022
4B02-05-56453-P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛИЗИНГОВАЯ КОМПАНИЯ ""ЕВРОПЛАН""",937900,9379,09,RU000A1004K1,13.02.2029
4B02-06-56453-P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛИЗИНГОВАЯ КОМПАНИЯ ""ЕВРОПЛАН""",996000,7968,09,RU000A100DG5,22.05.2023
4B02-07-56453-P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛИЗИНГОВАЯ КОМПАНИЯ ""ЕВРОПЛАН""",981000,981,09,RU000A0JWVL2,28.09.2026
4B02-08-56453-P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛИЗИНГОВАЯ КОМПАНИЯ ""ЕВРОПЛАН""",1000700,"1 000,7",09,RU000A0ZZBV2,19.06.2028
4B02-01-04715-A,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОБИЛЬНЫЕ ТЕЛЕСИСТЕМЫ""",995400,9954,095,RU000A0JTTA5,21.03.2023
4B02-02-04715-A,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОБИЛЬНЫЕ ТЕЛЕСИСТЕМЫ""",930000,930,095,RU000A0JWRV9,14.08.2031
4B02-06-04715-A-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОБИЛЬНЫЕ ТЕЛЕСИСТЕМЫ""",969500,9695,095,RU000A0ZYWY5,25.02.2025
4B02-07-04715-A-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОБИЛЬНЫЕ ТЕЛЕСИСТЕМЫ""",1005400,"1 005,4",095,RU000A100238,22.01.2024
4B02-09-04715-A-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОБИЛЬНЫЕ ТЕЛЕСИСТЕМЫ""",1004500,"1 004,5",095,RU000A100A66,11.10.2024
4B02-10-04715-A-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОБИЛЬНЫЕ ТЕЛЕСИСТЕМЫ""",981300,9813,095,RU000A100HU7,24.06.2025
4B02-12-04715-A-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОБИЛЬНЫЕ ТЕЛЕСИСТЕМЫ""",988000,988,095,RU000A100ZK0,25.10.2023
4B02-13-04715-A-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОБИЛЬНЫЕ ТЕЛЕСИСТЕМЫ""",999100,9991,095,RU000A101939,21.12.2022
4B02-14-04715-A-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОБИЛЬНЫЕ ТЕЛЕСИСТЕМЫ""",910200,9102,095,RU000A101FH6,10.02.2027
4B02-15-04715-A-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОБИЛЬНЫЕ ТЕЛЕСИСТЕМЫ""",935200,9352,095,RU000A101NG2,03.11.2026
4B02-18-04715-A-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОБИЛЬНЫЕ ТЕЛЕСИСТЕМЫ""",981500,9815,095,RU000A102VL3,21.03.2024
4B02-20-04715-A-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОБИЛЬНЫЕ ТЕЛЕСИСТЕМЫ""",1080000,1 080,095,RU000A104SU6,30.04.2026
4B02-21-04715-A-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОБИЛЬНЫЕ ТЕЛЕСИСТЕМЫ""",1022900,"1 022,9",095,RU000A104WJ1,19.06.2026
4B02-22-04715-A-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОБИЛЬНЫЕ ТЕЛЕСИСТЕМЫ""",1000000,1 000,095,RU000A1051T3,02.08.2024
4B02-01-55039-E-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСКОВСКАЯ ОБЪЕДИНЕННАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""",963400,9634,09,RU000A1005H4,25.02.2025
4B02-02-55039-E-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСКОВСКАЯ ОБЪЕДИНЕННАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""",990400,9904,09,RU000A100AN7,15.04.2025
4B02-03-55039-E-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСКОВСКАЯ ОБЪЕДИНЕННАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""",1000600,"1 000,6",09,RU000A101228,06.11.2025
4B02-04-55039-E-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСКОВСКАЯ ОБЪЕДИНЕННАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""",979200,9792,09,RU000A101XS6,14.07.2026
4B02-01-00221-A-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕФТЕГАЗОВАЯ КОМПАНИЯ ""СЛАВНЕФТЬ""",946000,946,095,RU000A101T64,03.06.2030
4B02-02-00221-A-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕФТЕГАЗОВАЯ КОМПАНИЯ ""СЛАВНЕФТЬ""",995000,995,095,RU000A1007H0,14.03.2029
4B02-03-00221-A-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕФТЕГАЗОВАЯ КОМПАНИЯ ""СЛАВНЕФТЬ""",999000,999,095,RU000A1013U1,14.11.2029
4B02-04-00221-A-002P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕФТЕГАЗОВАЯ КОМПАНИЯ ""СЛАВНЕФТЬ""",1018000,1 018,095,RU000A104WF9,10.06.2032
4-16-00077-A,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕФТЯНАЯ КОМПАНИЯ ""ЛУКОЙЛ""",1000957,"61 206,4185403",09,RU000A1059M1,24.04.2023
4-17-00077-A,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕФТЯНАЯ КОМПАНИЯ ""ЛУКОЙЛ""",1008640,"61 676,217856",09,RU000A1059N9,02.11.2026
4-18-00077-A,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕФТЯНАЯ КОМПАНИЯ ""ЛУКОЙЛ""",901693,"55 136,6333947",09,RU000A1059P4,26.04.2027
4-19-00077-A,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕФТЯНАЯ КОМПАНИЯ ""ЛУКОЙЛ""",876518,"53 597,2350122",09,RU000A1059Q2,06.05.2030
4-20-00077-A,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕФТЯНАЯ КОМПАНИЯ ""ЛУКОЙЛ""",864594,"52 868,1074526",09,RU000A1059R0,26.10.2031
4B02-03-65116-D-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССЕТИ МОСКОВСКИЙ РЕГИОН""",974600,9746,095,RU000A101XH9,15.07.2025
4B02-01-00124-A,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ""",974400,9744,095,RU000A0JVFC6,15.05.2025
4B02-01-00124-A-001P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ""",969600,9696,095,RU000A0JWTN2,09.09.2026
4B02-01-00124-A-002P,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ""",959800,9598,095,RU000A101541,26.11.2025
