,,0
Центральный административный округ,Басманный район,82.0
Центральный административный округ,Пресненский район,46.0
Центральный административный округ,Тверской район,39.0
Северо-Восточный административный округ,район Отрадное,28.0
Центральный административный округ,Красносельский район,23.0
Центральный административный округ,Мещанский район,19.0
Северо-Восточный административный округ,район Бибирево,19.0
Центральный административный округ,Таганский район,17.0
Южный административный округ,район Орехово-Борисово Южное,17.0
Юго-Восточный административный округ,район Выхино-Жулебино,16.0
Северо-Восточный административный округ,Бабушкинский район,16.0
Северо-Восточный административный округ,Алексеевский район,16.0
Северо-Восточный административный округ,район Северное Медведково,15.0
Южный административный округ,район Зябликово,15.0
Южный административный округ,район Бирюлёво Восточное,15.0
Центральный административный округ,район Арбат,14.0
Юго-Западный административный округ,район Южное Бутово,14.0
Юго-Западный административный округ,район Северное Бутово,13.0
Юго-Западный административный округ,район Ясенево,13.0
Южный административный округ,район Чертаново Южное,13.0
Северный административный округ,Головинский район,12.0
Центральный административный округ,район Замоскворечье,12.0
Северо-Восточный административный округ,район Лианозово,12.0
Северо-Восточный административный округ,Лосиноостровский район,11.0
Северо-Восточный административный округ,Ярославский район,10.0
Восточный административный округ,район Косино-Ухтомский,10.0
Южный административный округ,район Чертаново Центральное,10.0
Центральный административный округ,район Хамовники,10.0
Южный административный округ,район Орехово-Борисово Северное,10.0
Южный административный округ,район Царицыно,10.0
Юго-Восточный административный округ,район Лефортово,9.0
Центральный административный округ,район Якиманка,9.0
Северо-Восточный административный округ,Останкинский район,9.0
Южный административный округ,район Нагатино-Садовники,9.0
Зеленоградский административный округ,район Савёлки,9.0
Юго-Западный административный округ,Обручевский район,9.0
Северо-Восточный административный округ,район Южное Медведково,9.0
Южный административный округ,Нагорный район,9.0
Восточный административный округ,район Соколиная Гора,8.0
Юго-Восточный административный округ,район Капотня,8.0
Западный административный округ,район Раменки,8.0
Восточный административный округ,район Вешняки,8.0
Северный административный округ,Войковский район,8.0
Северный административный округ,Бескудниковский район,8.0
Южный административный округ,район Чертаново Северное,8.0
Северо-Западный административный округ,район Строгино,8.0
Юго-Западный административный округ,район Тёплый Стан,8.0
Южный административный округ,район Нагатинский Затон,8.0
Юго-Западный административный округ,Гагаринский район,8.0
Юго-Западный административный округ,район Коньково,7.0
Северо-Восточный административный округ,Бутырский район,7.0
Северо-Западный административный округ,район Южное Тушино,7.0
Восточный административный округ,район Измайлово,7.0
Северный административный округ,Савёловский район,7.0
Юго-Восточный административный округ,Южнопортовый район,6.0
Юго-Восточный административный округ,Рязанский район,6.0
Северо-Восточный административный округ,район Марьина Роща,6.0
Северо-Западный административный округ,район Митино,6.0
Северо-Западный административный округ,район Северное Тушино,6.0
Юго-Восточный административный округ,район Некрасовка,6.0
Северный административный округ,Тимирязевский район,6.0
Южный административный округ,район Братеево,6.0
Западный административный округ,район Крылатское,6.0
Западный административный округ,район Ново-Переделкино,6.0
Северный административный округ,район Левобережный,6.0
Южный административный округ,Донской район,6.0
Зеленоградский административный округ,район Силино,6.0
Юго-Западный административный округ,район Котловка,6.0
Юго-Западный административный округ,район Зюзино,6.0
Северный административный округ,Дмитровский район,5.0
Восточный административный округ,район Гольяново,5.0
Восточный административный округ,район Ивановское,5.0
Южный административный округ,Даниловский район,5.0
Юго-Западный административный округ,район Черёмушки,5.0
Новомосковский административный округ,поселение Сосенское,5.0
Восточный административный округ,район Перово,5.0
Северо-Восточный административный округ,Алтуфьевский район,5.0
Северный административный округ,Хорошёвский район,5.0
Северо-Восточный административный округ,район Северный,5.0
Северный административный округ,район Западное Дегунино,5.0
Юго-Восточный административный округ,район Люблино,5.0
Восточный административный округ,район Новокосино,5.0
Восточный административный округ,район Преображенское,5.0
Южный административный округ,район Москворечье-Сабурово,5.0
Юго-Западный административный округ,Ломоносовский район,4.0
Юго-Западный административный округ,Академический район,4.0
Юго-Восточный административный округ,район Текстильщики,4.0
Северо-Восточный административный округ,район Ростокино,4.0
Северо-Западный административный округ,район Щукино,4.0
Восточный административный округ,район Сокольники,4.0
Западный административный округ,район Фили-Давыдково,4.0
Западный административный округ,район Проспект Вернадского,4.0
Новомосковский административный округ,поселение Внуковское,4.0
Северо-Западный административный округ,район Хорошёво-Мнёвники,4.0
Северный административный округ,район Восточное Дегунино,4.0
Северный административный округ,район Коптево,4.0
Западный административный округ,район Солнцево,4.0
Западный административный округ,Можайский район,4.0
Западный административный округ,район Тропарёво-Никулино,4.0
Северо-Западный административный округ,район Покровское-Стрешнево,4.0
Восточный административный округ,район Новогиреево,4.0
Восточный административный округ,район Метрогородок,4.0
Юго-Восточный административный округ,район Кузьминки,3.0
Восточный административный округ,район Северное Измайлово,3.0
Восточный административный округ,район Богородское,3.0
Южный административный округ,район Бирюлёво Западное,3.0
Зеленоградский административный округ,район Старое Крюково,3.0
Северный административный округ,район Ховрино,3.0
Новомосковский административный округ,поселение Московский,3.0
Юго-Восточный административный округ,Нижегородский район,2.0
Восточный административный округ,район Восточное Измайлово,2.0
Зеленоградский административный округ,район Крюково,2.0
Западный административный округ,район Дорогомилово,2.0
Северный административный округ,район Аэропорт,2.0
Западный административный округ,район Кунцево,2.0
Северо-Западный административный округ,район Куркино,2.0
Юго-Восточный административный округ,район Печатники,2.0
Юго-Восточный административный округ,район Нагатинский Затон,2.0
Северо-Восточный административный округ,район Марфино,2.0
Западный административный округ,район Очаково-Матвеевское,1.0
Западный административный округ,район Марьино,1.0
Северный административный округ,Молжаниновский район,1.0
Южный административный округ,Мещанский район,1.0
Западный административный округ,район Филёвский Парк,1.0
Западный административный округ,район Якиманка,1.0
Северный административный округ,Останкинский район,1.0
Северный административный округ,район Арбат,1.0
Северный административный округ,район Беговой,1.0
Северный административный округ,район Марфино,1.0
Юго-Восточный административный округ,район Марьино,1.0
Северный административный округ,район Сокол,1.0
Юго-Восточный административный округ,район Измайлово,1.0
Северо-Восточный административный округ,район Свиблово,1.0
Юго-Восточный административный округ,Гагаринский район,1.0
Центральный административный округ,район Хорошёво-Мнёвники,1.0
Восточный административный округ,Нижегородский район,1.0
